Business Name,Category,Website,Email,Phone,Address,Facebook,Instagram,LinkedIn,YouTube,X/Twitter,Reviews (as found),Coverage Area,Source / Notes
Oriental Rug Spa (Newcastle service),SPEC,https://www.orientalrugspa.co.uk/rug-cleaning-newcastle-2/,,,Serves Newcastle (HQ Camberley),,,,,,,Newcastle / North East,Collection-based; see Oriental Rug Spa
ServiceMaster Clean (Newcastle & Gateshead),FRAN,https://www.servicemasterclean.co.uk,,,Newcastle / Gateshead,,,,,,,North East,Franchise; rug spa
The Oriental Rug Repair Co (ORRC),SPEC,https://www.orrc.co.uk,enquiries@orrc.co.uk,0131 221 6527,"28 Rutland Square, Edinburgh EH1 2BW",https://www.facebook.com/TheOrientalRugRepairCo/,,,,,Positive across platforms,Edinburgh / Aberdeen / Glasgow / Scotland,Family business; Guild of Master Craftsmen
Rug Cleaner Scotland,SPEC,https://www.rugcleanerscotland.co.uk,david@rugcleanerscotland.co.uk,07500 149433,"Unit 4, 3 Cloberfield, Glasgow G62 7LN",https://www.facebook.com/rugcleanerscotland/,,,,,"Facebook (1,217 likes); Yell (7)","Scotland (Glasgow, Edinburgh)","Family-owned dedicated rug cleaners, 16+ yrs"
Kleen-Dri,C&R,https://kleendri.co.uk,hello@kleendri.co.uk,07886 856024,Glasgow,,,,,,,Glasgow / Lanarkshire,Rug cleaning Glasgow
Pro Carpet Cleaning,C&R,https://pro-carpetcleaning.co.uk,,,Edinburgh / Fife / Dundee / Tayside,,,,,,,East Scotland,Rug restoration
NOVA CLEAN,C&R,https://www.cleaning-company-aberdeen.com,,,Aberdeen / Aberdeenshire,,,,,,,Aberdeen,Home call-outs + commercial
CSB Cleaning,C&R,https://csbcleaning.co.uk,,01656 859611,Bridgend / Cardiff / South Wales,https://www.facebook.com/Cleaning.Solutions.Bridgend/,,,,,"Facebook (1,867 likes)","South Wales (Cardiff, Swansea, Bridgend)",Award-winning family run (Kevin & Mair)
Edwards Jeffery,C&R,https://edwardsjefferycarpetcleaning.co.uk,,,Cardiff / South Wales,,,,,,,South Wales,"Multi-award-winning, fully insured"
Ultra Clean Services,C&R,https://www.ultracleanservices.co.uk,,,Cardiff / Newport / Caerphilly,,,,,,,South Wales,Professional rug cleaning
Mr Jones' Rug Cleaning Spa,SPEC,,,,"185a Cardiff Rd, Newport",,,,,,,Newport / South Wales,Persian/Oriental to machine-made; dye bleed/stain/odour
Cardiff Carpet Cleaning Co,C&R,,,,"Cardiff, South Wales",,,,,,,South Wales / M4 corridor,IICRC trained (via Yell)
Clean Rescue,C&R,https://cleanrescue.uk,,,Wales,,,,,,,Wales,Web search
The Rug Spa (Belfast),SPEC,https://www.therugspa.co.uk,,02890 814063 / 0800 988 3362,"27 Oakwood Ave, Carryduff, Belfast BT8 8SW",,,,,,,Belfast / Northern Ireland,10+ yrs; domestic & commercial
Elite Carpet Cleaners (Belfast),C&R,https://elitecarpetcleaners.com,,,Belfast,,,,,,,Belfast / Newtownabbey / Carrickfergus,Traditional/Oriental/Persian/kilim
Ultra Clean Belfast,C&R,https://www.ultracleanbelfast.co.uk,,07974 827737,Belfast,,,,,,,Belfast / North Down,25+ yrs
Chem-Dry Northern,FRAN,https://www.chemdrynorthern.co.uk,,,Belfast,,,,,,,Belfast / Northern Ireland,Chem-Dry franchise
The Rug Laundry,SPEC,https://www.theruglaundry.co.uk,hello@theruglaundry.co.uk,01269 842497 / 0800 002 9543,"Unit 16, Capel Hendre Industrial Estate, Ammanford SA18 3SJ",https://www.facebook.com/theruglaundry.co.uk/,https://www.instagram.com/theruglaundry/,,,,Trustpilot (26); Facebook 98% (43),National (collection network + drop-off points),Family-run 20+ yrs; WoolSafe member
Oriental Rug Repair Co,SPEC,https://orientalrugrepair.co.uk,,,UK,,,,,,,UK,Guild of Master Craftsmen
Rug Restoration,SPEC,https://rugrestoration.co.uk,,,UK,,,,,,,UK,Restoration / cleaning / repair
eMop,FRAN,https://www.emop.co.uk,,,London / national,,,,,,,"National (Birmingham, Manchester, Leeds, ...)",On-demand cleaning platform
Hello Services,FRAN,https://helloservices.co.uk,,,National,,,,,,,"National (Liverpool, Bristol, Sheffield, Nottingham, Newcastle)",Booking platform
Cleaning Doctor,FRAN,https://cleaningdoctor.net,,,National (franchise),,,,,,,"National franchise (Birmingham, Edinburgh, Belfast, Norwich, ...)",Franchise network
Bristol Rug Cleaning,SPEC,,,,Clevedon / Bristol,https://www.facebook.com/bristolrugcleaning/,,,,,,Bristol area,Facebook business page
Rug Cleaning Weston-super-Mare,SPEC,,,,Weston-super-Mare / Bristol,https://www.facebook.com/rugcleaningWSM/,,,,,,Bristol / Somerset,Facebook business page
My Care Carpet Cleaners,C&R,https://www.mycarecarpetcleaners.co.uk,,,Bristol,,,,,,,Bristol,Web search
